School,Conference,Coach,SchoolPay,TotalPay,Bonus,BonusPaid,AssistantPay,Buyout,Graduation rate ,Coach YOE,Stadium,Stadium Seats,Win Rate
US Airforce Academy,Mt. West,Troy Calhoun,885000,885000,247000,--,$0 ,--,93,23,Falcon Stadium,46692,60.94
University of Akron,Mid-American Conference,Terry Bowden,"$411,000 ","$412,500 ","$225,000 ","$50,000 ",$0 ,"$688,500 ",74,15,InfoCision Stadium,30000,73
University of Alabama,Southeastern Conference,Nick Saban,"$8,307,000 ","$8,307,000 ","$1,100,000 ","$500,000 ",$0 ,"$33,600,000 ",89,27,Bryant-Denny Stadium,101821,80
University of Alabama at Birmingham,C-USA,Bill Clark,"$900,000 ","$900,000 ","$950,000 ","$165,471 ",$0 ,"$3,847,500 ",80,6,Protective Stadium,47100,65
Appalachian State University,Sun Belt,Scott Satterfield,"$712,500 ","$712,500 ","$295,000 ","$145,000 ",$0 ,"$2,160,417 ",81,9,Kidd Brewer Stadium,30000,64
University of Arizona,Pac-12,Kevin Sumlin,"$1,600,000 ","$2,000,000 ","$2,025,000 ",--,$0 ,"$10,000,000 ",75,13,Arizona Stadium,57400,60
Arizona State University,Pac-12,Herm Edwards,"$2,000,000 ","$2,000,000 ","$3,010,000 ",--,$0 ,"$8,166,667 ",87,5,Sun Devil Football Stadium,52599,57
"University of Arkansas, Fayetteville",Southeastern Conference,Chad Morris,"$3,500,000 ","$3,500,000 ","$1,000,000 ",--,$0 ,"$12,500,000 ",87,5,Donald W. Reynolds Razorback Stadium,76000,31
Arkansas State University,Sun Belt,Blake Anderson,"$825,000 ","$825,000 ","$185,000 ","$25,000 ",$0 ,"$300,000 ",75,9,Centennial Bank Stadium,30964,59
U.S. Military Academy,Independent,Jeff Monken,932521,932521,--,--,$0 ,--,64,9,Michie Stadium,38000,57
Auburn University,Southeastern Conference,Gus Malzahn,"$6,700,000 ","$6,705,656 ","$1,400,000 ","$375,000 ",$0 ,"$32,143,750 ",83,11,Jordan-Hare Stadium,87451,67
Ball State University,Mid-American Conference,Mike Neu,"$435,689 ","$435,689 ","$380,000 ","$30,000 ",$0 ,"$980,300 ",78,7,Scheumann Stadium,22500,41
Baylor University,Big 12,Matt Rhule,--,--,--,--,$0 ,--,91,7,McLane Stadium,45140,52
Boise State University,Mt. West,Bryan Harsin,"$1,650,010 ","$1,650,010 ","$475,000 ","$145,000 ",$0 ,"$7,784,038 ",91,10,Albertsons Stadium,36387,70
Boston College,ACC,Steve Addazio,"$2,514,859 ","$2,514,859 ",--,--,$0 ,--,97,11,Alumni Stadium,44500,48
Bowling Green State University,Mid-American Conference,Mike Jinks,"$437,228 ","$437,228 ","$245,000 ","$81,250 ",$0 ,"$874,456 ",73,3,Doyt L. Perry Stadium,24000,23
Brigham Young University,Independent,Kalani Sitake,--,--,--,--,$0 ,--,80,7,LaVell Edwards Stadium (LES),63725,62
"University at Buffalo, the State University of New York",Mid-American Conference,Lance Leipold,"$455,500 ","$455,500 ","$381,000 ",$0 ,$0 ,"$1,020,833 ",87,8,UB Stadium - University at Buffalo,29013,47
"University of California, Berkeley",Pac-12,Justin Wilcox,"$1,500,000 ","$1,500,000 ","$900,000 ","$75,000 ",$0 ,"$7,208,500 ",86,6,California Memorial Stadium,63000,46
University of Central Florida,AAC,Josh Heupel,"$1,700,000 ","$1,700,000 ","$250,000 ",--,$0 ,"$3,587,500 ",85,5,FBC Mortgage Stadium,45301,74
Central Michigan University,Mid-American Conference,John Bonamego,"$655,000 ","$655,000 ","$415,000 ","$45,000 ",$0 ,"$1,125,000 ",81,4,Kelly/Shorts Stadium,45000,43
The University of North Carolina at Charlotte,C-USA,Brad Lambert,"$625,000 ","$625,000 ","$120,000 ",$0 ,$0 ,"$556,389 ",73,4,McColl–Richardson Field at Jerry Richardson Stadium,15314,25
University of Cincinnati,AAC,Luke Fickell,"$2,000,000 ","$2,000,000 ","$625,000 ",$0 ,$0 ,"$7,100,000 ",91,7,Nippert Stadium,40000,71
Clemson University ,ACC,Dabo Swinney,"$6,205,000 ","$6,543,350 ","$1,125,000 ","$500,000 ",$0 ,"$35,000,000 ",92,15,Memorial Stadium,81500,81
Coastal Carolina University,Sun Belt,Joe Moglia,"$400,000 ","$400,000 ","$800,000 ","$25,000 ",$0 ,"$516,667 ",83,1,Brooks Stadium,21000,42
"University of Colorado, Boulder",Pac-12,Mike MacIntyre,"$2,878,500 ","$2,878,500 ","$2,150,000 ","$297,000 ",$0 ,"$10,314,583 ",77,10,Folsom Field,50183,41
Colorado State University ,Mt. West,Mike Bobo,"$1,800,000 ","$1,800,000 ","$905,000 ","$50,000 ",$0 ,"$8,000,000 ",76,6,Canvas Stadium,41000,42
Connecticut,AAC,Randy Edsall,"$1,100,000 ","$1,100,000 ","$650,000 ","$129,000 ",$0 ,"$1,000,000 ",,21,,,43
Duke University ,ACC,David Cutcliffe,"$2,540,928 ","$2,540,928 ",--,--,$0 ,--,95,21,Wallace Wade Stadium,40004,49
East Carolina University ,AAC,Scottie Montgomery,"$1,102,500 ","$1,102,500 ","$850,000 ",$0 ,$0 ,"$1,233,333 ",70,3,Dowdy-Ficklen Stadium,50000,26
Eastern Michigan University,Mid-American Conference,Chris Creighton,"$460,000 ","$460,000 ","$395,000 ","$10,000 ",$0 ,"$950,000 ",78,9,Rynearson Stadium,30200,43
University of Florida,Southeastern Conference,Dan Mullen,"$6,070,000 ","$6,070,000 ","$925,000 ",--,$0 ,"$12,000,000 ",96,13,Ben Hill Griffin Stadium,88548,63
Florida Atlantic University,C-USA,Lane Kiffin,"$1,000,000 ","$1,000,000 ","$1,150,000 ","$40,000 ",$0 ,"$2,850,000 ",80,11,FAU Stadium,30000,64
Florida International University,C-USA,Butch Davis,"$945,000 ","$945,000 ","$550,000 ","$35,000 ",$0 ,"$3,185,626 ",80,15,FIU Football Stadium,23500,58
Florida State University ,ACC,Willie Taggart,"$5,000,000 ","$5,000,000 ","$1,475,000 ",--,$0 ,"$21,958,333 ",63,13,Doak S. Campbell Stadium,79560,47
"California State University, Fresno",Mt. West,Jeff Tedford,"$1,550,000 ","$1,550,000 ","$2,765,000 ","$1,240,000 ",$0 ,"$5,440,000 ",67,15,Bulldog Stadium,40727,61
University of Georgia,Southeastern Conference,Kirby Smart,"$6,603,600 ","$6,603,600 ","$1,150,000 ","$1,350,000 ",$0 ,"$27,917,500 ",54,7,Sanford Stadium,92746,84
Georgia Southern University,Sun Belt,Chad Lunsford,"$650,000 ","$650,000 ","$295,000 ",--,$0 ,"$83,333 ",69,5,Allen E. Paulson Stadium,25000,57
Georgia State University,Sun Belt,Shawn Elliott,"$569,000 ","$569,000 ","$220,000 ","$60,000 ",$0 ,"$1,500,000 ",82,7,Center Parc Credit Union Stadium,24333,45
Georgia Institute of Technology,ACC,Paul Johnson,"$3,060,018 ","$3,060,018 ","$1,330,000 ","$225,000 ",$0 ,"$4,000,000 ",88,17,Bobby Dodd Stadium,55000,59
"University of Hawaii, Manoa",Mt. West,Nick Rolovich,"$425,004 ","$486,504 ","$1,260,000 ",$0 ,$0 ,"$300,000 ",74,6,Aloha Stadium,50000,50
University of Houston,AAC,Major Applewhite,"$1,750,000 ","$1,750,000 ","$782,500 ","$20,000 ",$0 ,"$2,112,500 ",66,3,TDECU Stadium,40000,58
University of Illinois Urbana-Champaign,Big Ten,Lovie Smith,"$5,000,000 ","$5,000,000 ","$1,000,000 ","$50,000 ",$0 ,"$12,636,991 ",91,5,University of Illinois Memorial Stadium,60670,30
"Indiana University, Bloomington",Big Ten,Tom Allen,"$1,830,000 ","$1,830,000 ","$1,441,668 ",$0 ,$0 ,"$2,000,000 ",87,7,Indiana University Memorial Stadium,52929,43
University of Iowa,Big Ten,Kirk Ferentz,"$4,700,000 ","$4,700,000 ","$2,875,000 ","$600,000 ",$0 ,"$22,396,250 ",80,24,Kinnick Stadium,69250,62
Iowa State University ,Big 12,Matt Campbell,"$3,500,000 ","$3,500,000 ","$750,000 ","$650,000 ",$0 ,"$19,291,667 ",91,12,Jack Trice Stadium,61500,59
University of Kansas,Big 12,David Beaty,"$1,701,109 ","$1,701,109 ","$2,000,000 ",$0 ,$0 ,"$3,000,000 ",85,4,David Booth Kansas Memorial Stadium,47233,13
Kansas State,Big 12,Bill Snyder,"$3,500,000 ","$3,500,000 ","$580,000 ","$50,000 ",$0 ,"$3,000,000 ",94,27,Bill Snyder Family Stadium,50000,65
Kent State University,Mid-American Conference,Sean Lewis,"$440,000 ","$440,000 ","$406,000 ",--,$0 ,"$1,150,000 ",85,5,Dix Stadium,25319,44
University of Kentucky,Southeastern Conference,Mark Stoops,"$4,000,000 ","$4,013,600 ","$3,100,000 ","$300,000 ",$0 ,"$15,625,000 ",88,10,Kroger Field,61000,53
Liberty University,Independent,Turner Gill,"$947,281 ","$947,281 ",--,--,$0 ,--,73,7,Williams Stadium,25000,36
Louisiana Tech University,C-USA,Skip Holtz,"$700,000 ","$700,000 ","$395,000 ",$0 ,$0 ,"$2,508,333 ",75,17,Joe Aillet Stadium,28562,55
University of Louisiana at Lafayette,Sun Belt,Billy Napier,"$850,000 ","$850,000 ","$435,000 ",--,$0 ,"$2,671,875 ",82,5,Cajun Field,36900,71
University of Louisiana Monroe,Sun Belt,Matt Viator,"$390,000 ","$390,000 ","$50,000 ",$0 ,$0 ,"$175,000 ",85,5,Malone Stadium,27617,33
University of Louisville,ACC,Bobby Petrino,"$3,980,434 ","$3,980,434 ","$1,472,917 ","$869,917 ",$0 ,"$14,056,250 ",94,14,Cardinal Stadium,65000,68
Louisiana State University,Southeastern Conference,Ed Orgeron,"$3,500,000 ","$3,500,000 ","$1,575,000 ","$100,000 ",$0 ,"$5,291,667 ",69,10,Tiger Stadium,102321,59
Marshall University,C-USA,Doc Holliday,"$762,570 ","$762,570 ","$145,000 ","$55,000 ",$0 ,"$1,951,708 ",78,11,Joan C. Edwards Stadium,38227,61
"University of Maryland, College Park",Big Ten,DJ Durkin,"$2,512,000 ","$2,512,000 ","$625,000 ",$0 ,$0 ,"$5,096,178 ",78,3,Capital One Field at SECU Stadium,54000,42
"University of Massachusetts, Amherst",Independent,Mark Whipple,"$500,000 ","$500,000 ","$305,000 ","$20,000 ",$0 ,"$300,000 ",71,5,McGuirk Alumni Stadium,17000,27
University of Memphis,AAC,Mike Norvell,"$2,600,000 ","$2,600,000 ","$775,000 ","$185,000 ",$0 ,"$7,431,667 ",93,7,Simmons Bank Liberty Stadium,59325,64
University of Miami ,ACC,Mark Richt,"$4,058,061 ","$4,058,061 ",--,--,$0 ,--,83,18,Hard Rock Stadium,65326,73
Miami University (Ohio),Mid-American Conference,Chuck Martin,"$524,826 ","$524,826 ","$582,110 ","$12,669 ",$0 ,"$522,300 ",90,9,Yager Stadium,24286,43
University of Michigan,Big Ten,Jim Harbaugh,"$7,504,000 ","$7,504,000 ","$1,325,000 ","$150,000 ",$0 ,"$17,111,110 ",94,12,Michigan Stadium,107601,69
Michigan State University,Big Ten,Mark Dantonio,"$4,390,417 ","$4,390,417 ","$650,000 ","$125,000 ",$0 ,"$7,000,000 ",78,16,Spartan Stadium,75005,64
Middle Tennessee State University,C-USA,Rick Stockstill,"$801,504 ","$803,004 ","$126,142 ","$65,142 ",$0 ,"$6,633,774 ",95,17,Floyd Stadium,30788,51
"University of Minnesota, Twin Cities",Big Ten,P.J. Fleck,"$3,550,000 ","$3,550,000 ","$900,000 ",$0 ,$0 ,"$9,291,667 ",90,10,Huntington Bank Stadium,50805,60
University of Mississippi,Southeastern Conference,Matt Luke,"$3,000,000 ","$3,000,000 ","$1,550,000 ",--,$0 ,$0 ,82,3,Vaught Hemingway Stadium,64038,42
Mississippi State University,Southeastern Conference,Joe Moorhead,"$2,600,000 ","$2,600,000 ","$1,350,000 ",--,$0 ,$0 ,80,3,Davis Wade Stadium,61337,42
